Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Income
Bachelors,2017,Bangalore,3,34,Male,No,0,0,64598
Bachelors,2013,Pune,1,28,Female,No,3,1,124103
Bachelors,2014,New,Delhi,3,38,Female,No,2,100324
Masters,2016,Bangalore,3,27,Male,No,5,1,144957
Masters,2017,Pune,3,24,Male,Yes,2,1,137659
Bachelors,2016,Bangalore,3,22,Male,No,0,0,131924
Bachelors,2015,New,Delhi,3,38,Male,No,0,101133
Bachelors,2016,Bangalore,3,34,Female,No,2,1,106595
Bachelors,2016,Pune,3,23,Male,No,1,0,75300
Masters,2017,New,Delhi,2,37,Male,No,2,140611
Masters,2012,Bangalore,3,27,Male,No,5,1,69271
Bachelors,2016,Pune,3,34,Male,No,3,0,141535
Bachelors,2018,Pune,3,32,Male,Yes,5,1,97453
Bachelors,2016,Bangalore,3,39,Male,No,2,0,133971
Bachelors,2012,Bangalore,3,37,Male,No,4,0,144271
Bachelors,2017,Bangalore,1,29,Male,No,3,0,120120
Bachelors,2014,Bangalore,3,34,Female,No,2,0,93442
Bachelors,2014,Pune,3,34,Male,No,4,0,108287
Bachelors,2015,Pune,2,30,Female,No,0,1,95140
Bachelors,2016,New,Delhi,2,22,Female,No,0,143806
Bachelors,2012,Bangalore,3,37,Male,No,0,0,145321
Masters,2017,New,Delhi,2,28,Male,No,4,76354
Bachelors,2017,New,Delhi,2,36,Male,No,3,141463
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,72290
Bachelors,2017,Bangalore,3,29,Male,No,4,0,91584
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,96996
Bachelors,2016,Bangalore,3,37,Male,No,2,0,128053
Bachelors,2015,Bangalore,3,23,Male,No,1,0,110341
Bachelors,2013,Pune,2,31,Female,No,2,1,105555
Masters,2017,New,Delhi,2,30,Female,No,2,59482
PHD,2013,New,Delhi,3,25,Male,No,3,72361
Bachelors,2014,Bangalore,3,23,Male,No,1,0,109051
Bachelors,2018,Bangalore,3,26,Male,No,4,1,63802
Bachelors,2016,Bangalore,3,40,Male,No,5,0,55607
Bachelors,2017,Pune,2,37,Female,No,0,1,141171
Bachelors,2014,Bangalore,1,30,Female,No,3,0,136524
Bachelors,2012,New,Delhi,3,29,Male,No,3,116407
Bachelors,2018,New,Delhi,2,34,Female,No,0,144888
Bachelors,2017,Pune,2,29,Female,No,2,1,67961
Bachelors,2014,Pune,3,30,Male,Yes,4,0,82041
Bachelors,2015,Bangalore,3,36,Male,No,1,0,65039
Masters,2017,New,Delhi,2,23,Male,No,1,62770
Bachelors,2013,Bangalore,3,30,Male,No,3,1,98515
Bachelors,2014,Bangalore,3,36,Male,No,0,0,135099
Bachelors,2015,Pune,3,39,Male,No,4,0,71825
Bachelors,2014,Bangalore,3,23,Female,No,1,0,75514
PHD,2012,New,Delhi,3,27,Male,No,5,111234
Masters,2013,New,Delhi,3,35,Male,No,2,79230
Masters,2017,New,Delhi,2,34,Male,No,0,74821
Bachelors,2013,Bangalore,3,30,Female,No,1,0,131899
PHD,2017,New,Delhi,3,34,Male,No,2,56935
Bachelors,2015,Pune,2,26,Female,No,4,1,90927
Bachelors,2016,Bangalore,3,34,Female,No,0,0,97214
Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,149219
Bachelors,2017,New,Delhi,3,31,Female,Yes,5,137985
PHD,2013,New,Delhi,3,28,Male,No,2,125879
Bachelors,2016,Bangalore,3,38,Male,No,2,0,58570
Masters,2014,Pune,3,39,Female,No,2,0,56155
Bachelors,2013,Pune,3,32,Male,No,4,0,72575
Masters,2017,Pune,2,36,Male,No,2,1,80038
Masters,2013,New,Delhi,3,29,Male,No,3,130053
Bachelors,2015,Bangalore,3,30,Male,No,5,0,104727
PHD,2013,Bangalore,2,25,Male,No,3,1,84832
Bachelors,2014,Pune,1,22,Female,No,0,1,72137
Bachelors,2016,Bangalore,3,34,Male,No,4,0,126787
Bachelors,2018,Bangalore,3,40,Male,No,1,1,58755
PHD,2013,Bangalore,3,26,Male,No,4,0,118209
Bachelors,2014,New,Delhi,3,28,Male,No,0,70102
Bachelors,2015,Bangalore,3,24,Female,No,2,0,136383
Masters,2017,Bangalore,3,40,Female,No,2,1,129147
Bachelors,2018,Bangalore,3,23,Female,No,1,1,59444
Masters,2017,Bangalore,3,31,Male,No,4,0,146603
Bachelors,2014,Pune,3,25,Female,No,3,0,138513
Bachelors,2014,Bangalore,1,27,Male,No,5,0,118809
Masters,2017,New,Delhi,2,25,Female,No,3,106096
Bachelors,2015,Bangalore,3,40,Male,No,0,1,108311
Bachelors,2014,Bangalore,1,23,Female,No,1,0,86551
Bachelors,2017,Bangalore,3,23,Female,No,1,0,75042
Bachelors,2012,Bangalore,3,39,Male,No,1,0,135153
PHD,2015,New,Delhi,1,37,Male,No,1,124371
Bachelors,2017,Pune,3,38,Male,No,2,0,80332
Bachelors,2013,Bangalore,3,31,Female,No,0,1,146229
Bachelors,2016,Bangalore,3,38,Male,No,5,0,141422
Bachelors,2017,Bangalore,3,25,Female,No,3,0,56124
Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,86608
Bachelors,2016,Pune,2,36,Male,No,0,1,112224
Bachelors,2017,Pune,2,27,Female,No,5,1,59113
Masters,2015,Pune,2,32,Female,No,4,0,147941
Bachelors,2014,Bangalore,3,28,Male,No,4,0,79429
Masters,2012,New,Delhi,3,32,Male,No,2,84343
Bachelors,2018,Bangalore,3,30,Male,No,0,1,90633
Bachelors,2015,New,Delhi,3,22,Male,No,0,142237
Bachelors,2017,New,Delhi,2,34,Female,No,5,125912
Masters,2013,New,Delhi,3,36,Male,No,2,135162
Bachelors,2014,Bangalore,3,39,Male,No,3,1,133805
PHD,2018,Bangalore,3,26,Male,No,4,1,81377
Bachelors,2016,Bangalore,3,31,Female,No,0,0,126923
Bachelors,2014,Bangalore,3,27,Male,No,5,1,96508
Bachelors,2014,Bangalore,3,29,Female,No,0,0,95193
Bachelors,2015,Bangalore,3,24,Female,No,2,1,56029
Masters,2012,Pune,3,25,Male,No,3,1,76154
Bachelors,2013,Pune,3,25,Male,No,3,0,77865
Masters,2017,New,Delhi,3,26,Female,No,4,143664
Bachelors,2015,Pune,2,28,Female,Yes,1,1,114153
Bachelors,2017,New,Delhi,3,28,Male,No,2,89318
Masters,2015,Pune,1,28,Female,No,3,1,130311
Masters,2015,New,Delhi,3,25,Male,No,3,84858
Bachelors,2017,Bangalore,3,28,Male,No,1,0,62026
Masters,2013,Pune,3,25,Male,No,3,0,119571
Bachelors,2015,Bangalore,2,25,Female,No,3,1,98996
Bachelors,2015,Bangalore,3,27,Female,No,5,0,116332
Bachelors,2017,Pune,2,27,Female,No,5,1,84094
Bachelors,2013,Bangalore,3,27,Male,No,5,1,72408
Bachelors,2012,Bangalore,3,25,Male,No,3,0,73762
Masters,2017,New,Delhi,2,28,Male,No,2,59567
Bachelors,2014,Pune,1,26,Female,No,4,1,72335
Bachelors,2015,Bangalore,3,28,Male,No,2,0,138540
Masters,2013,New,Delhi,3,26,Male,No,4,97981
Bachelors,2017,Bangalore,3,26,Female,No,4,0,68935
Bachelors,2017,New,Delhi,2,25,Male,No,3,132542
Bachelors,2012,Bangalore,1,28,Female,No,3,0,99941
PHD,2015,New,Delhi,3,26,Male,No,4,134767
Bachelors,2015,New,Delhi,3,25,Female,No,3,68156
Bachelors,2012,Bangalore,3,26,Male,No,4,1,113122
Bachelors,2014,Bangalore,3,28,Female,No,3,0,147018
Masters,2014,Pune,3,24,Male,No,2,0,106909
Bachelors,2013,Bangalore,3,28,Male,No,1,0,110663
Bachelors,2015,Pune,3,27,Male,No,5,0,77949
Bachelors,2018,Bangalore,3,25,Male,No,3,1,55559
Masters,2013,Pune,1,24,Male,No,2,1,125038
Bachelors,2017,Bangalore,3,26,Female,No,4,0,66400
Bachelors,2013,Bangalore,3,28,Male,No,1,1,109871
Masters,2016,New,Delhi,3,27,Male,No,5,93349
Masters,2017,Bangalore,3,26,Male,No,4,0,84377
Masters,2017,New,Delhi,2,24,Male,No,2,117554
Masters,2018,New,Delhi,3,26,Male,No,4,55366
Masters,2017,New,Delhi,1,25,Female,No,3,119788
Bachelors,2012,Pune,3,28,Male,No,2,0,108015
Bachelors,2017,New,Delhi,3,28,Male,No,2,126649
Bachelors,2013,Bangalore,3,26,Male,No,4,0,105702
Masters,2013,New,Delhi,3,27,Male,No,5,90613
Bachelors,2017,Pune,2,24,Female,No,2,1,120924
Bachelors,2017,New,Delhi,3,28,Female,No,2,110498
Bachelors,2016,Bangalore,3,26,Male,No,4,0,109856
Bachelors,2013,Bangalore,3,27,Female,No,5,0,59985
Masters,2015,Pune,2,28,Female,No,3,0,77758
Bachelors,2014,Bangalore,3,25,Male,No,3,0,141549
